doctor_name,speciality,professional_degree,consultation_time
Dr. Aswathy Jayachandran,Consultant Pathologist,"MBBS,MD(Pathology)",
DR.AISHWARYA M S,Consultant Pathologist,"MBBS,MD(Pathology)",
Dr.ASHAMOL AKBAR,Consultant Pathologist,"MBBS,MD(Pathology)",
Dr Arathi Sureshkumar,Consultant Pathologist,"MBBS,MD(Pathology)",
