doctor_name,speciality,professional_degree,consultation_time
Dr. Tittu Oommen,Consultant Endocrinologist,"MBBS, MD, DM (Endocrinology)","Tuesday,Friday - 9:00 AM to 3 PM"
Dr. Aromal Chekavar S,Consultant Endocrinologist,"MBBS, MS (Gen Surgery), MCH (Endocrine Surgery)",Saturday 4PM to 6PM
