doctor_name,speciality,professional_degree,consultation_time
Dr. Anju Deepak Unnithan,,,"Consultation time:  9AM - 1PM, (Saturday Off)"
Dr. Amrita Vijay,Sr Consultant Paediatrician,"MBBS, MD (Paed)","Consultation time:  Monday to Saturday- 9AM to 3PM, Off Day - Sunday"
Dr. A Padmanabhan,Consultant Paediatrician,"MBBS, DCH, MD (Paed)",Consultation time:
Dr. Pradeep Kidangoor,Senior Consultant Paediatrician,"MBBS, MD (Paed)",Consultation time: 4PM to 6PM Sunday Only
Dr . Gisi Shibu,Consultant in Neuropaediatrics & Developmental Pediatrics,"MBBS,MD(paediatric)",Consultation time: Tuesday & Wenesday 2PM to 4 PM
APARNA A J,Consultant Paediatrician,"MBBS,MD(Paediatrics),DNB (Paediatrics)",Consultation time: 2 PM to 8 PM
DR.ANUPA ACHAMMA THOMAS,Consultant Pediatric Gastroenterologist,"MBBS,MD(Ped),Fellowship in Pediatric Gastroenterology & Hepatology)",Consultation time: Monday to  Saturday-9 am to 2 pm	Sunday-Off
DR.TEENU JOSE,CONSULTANT PEDIATRICIAN,"MBBS,MD(Paed)",Consultation time: 2pm to 8pm
Aiswarya Mohan S,Consultant Pediatrician,"MBBS,MD(Pediatrics)",Consultation time: 2pm to 8pm
