doctor_name,speciality,professional_degree,consultation_time
Dr. Pramod A T,,,"Consultation time:  Monday to Sunday -10AM - 1PM, 5PM - 7PM  (Tueday & Saturday Evening Off)"
Dr. Rajesh K,Consultant Orthopaedic Surgeon,"MBBS,MS (Ortho)",Consultation time: Monday to Saturday 2PM - 6PM (Sunday Off)
Dr. Vishnu R Unnithan,Consultant Orthopaedician & Arthroscopic Specialist,"MBBS, D. ORTHO, DNB (Ortho)","Consultation time: Sunday, Monday, Tuesday Wednesday, Friday, Saturday - 9AM to 1.30PM"
Dr. Praveen S Jose,Consultant Orthopaedician,MS (Ortho),Consultation time:  Wednesdays - 4PM to 6PM
Dr. Arshad A R,Consultant - Orthopaedic Surgeon,"MBBS, MS (Ortho)","Consultation time: Monday, Tuesday,Wednesday, Friday,Saturday-10 AM to 1 PM  Monday, Tuesday, Thursday, Friday- 4 PM to 7 PM"
DR.RENY GILBERT,Registrar,"MBBS,MS(ORTHO)","Consultation time: Saturday,Tuesday, Wednesday - 9am to 1pm, 5pm to 9pm  Monday, Thursday - 9am to 1pm, 5pm to 6pm  Friday - Off"
T S Balagopal,Jr.Consultant Orthopaedician,"MBBS,Diploma in Orthopaedics,DNB(Ortho)","Consultation time: Tuesday ,Wednesday -2PM to 5PM"
NIBIN SANIL,Jr.Consultant Orthopaedician,"MBBS,MS(Ortho)","Consultation time: Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday-5 PM to 8 PM  Monday-off"
