doctor_name,speciality,professional_degree,consultation_time
Dr. Tiny Nair,Chief Cardiologist,"MD, DM","Consultation time: Consultation Time: 10.30AM to 2PM (Saturday, Sunday - Off)"
Dr. Prakash N Nair,Consultant Cardiologist,"MD, DNB (Cardiolology)",Consultation time: Consultation Time: 10AM to 5PM (Wednesday - Off)
Dr. Krishna Kumar K,Senior Consultant - Interventional Cardiologist,"MD, DM",Consultation time: Consultation Time: 9AM to 3PM(Off - Sunday)
Dr. Santhosh K R,Chief Interventional Cardiologist,"MD (GM), DM (Cardio)",Consultation time: Monday to Sunday - 9AM to 1PM (Saturday - Off)
