doctor_name,speciality,professional_degree,consultation_time
Dr. K Rajagopal Nair,Consultant Dermatologist,"MBBS, DVD","Consultation time: Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday - 10AM to 1PM (Friday Off)"
Dr. Punnya Treesa Johncy,Jr. Consultant Dermatologist,"MBBS, MD","Consultation time: Monday,Tuesday,Thursday,Friday,Saturday,Sunday - 9.30am to 1pm Off - Wednesday"
