doctor_name,speciality,professional_degree,consultation_time
Dr. Sahir N Abdulla,Consultant ENT Surgeon,"MBBS, MS (ENT)","Monday to Saturday -10AM to 1PM ,(Sunday 11AM to 1PM)"
DR.BINSA BASHEER,Consultant ENT Surgeon,"MBBS,MS(ENT),DNB(ENT),FELLOWSHIP IN VERTIGO","Monday, Tuesday,Wednesday, Friday- 9.30 AM to 3 PM Sunday-9.30 AM to 1.30 PM"
Dr. Govind Mohandas,Jr. Consultant ENT Surgeon,"MBBS, MS (ENT)",Monday to Sunday - 8.30 AM to 1 PM & 4.30 PM to 8 PM Off - Wednesday
Dr. Adersh S Pillai,Consultant ENT Specialist,"MBBS,MS(Oto-Rhino-Laryngology),Fellowship in Laryngology & Phonosurgery","Mon, Wed, Thursday- 9am to 1pm, 4pm to 6pm , Friday-9 am to 4 pm ,Sunday- 9am to 1pm Off - Tuesday, Saturday"
Dr. Praseeda Prasad,Registrar,"MBBS, MS (ENT)",2.30PM to 6PM (Sunday Off)
Dr. K. Salil Kumar,Sr. Consultant ENT Surgeon,"MBBS, DLO, MS (ENT)","Wednesday-10.30 AM to 4PM , Friday - 2PM to 4.30PM"
Dr. C John Panicker,Head & Neck Surgeon Consultant ENT,"MS, DLO",
