doctor_name,speciality,professional_degree,consultation_time
Dr. Ramadas Kunnambath,Director - Clinical Operation and Allied Services,"MD, DNB, FAMS, PhD Former Additional Director & Head of Radiation Oncology, Regional Cancer Center",Consultation time:  Monday - Saturday 10:00AM - 2:00PM
Dr. Mintu Mathew Abraham,Consultant Medical Oncologist,"MBBS, MD (Radiation Oncology), DNB, MBA(Hospital Administration), DM (Medical Oncology), DrNB, ECMO, FCPM",Consultation time: Monday - Saturday 9:00AM - 4:00PM
Dr. Aswathy G Nath,Consultant Gynaecological Oncologist,"MBBS, DNB(OBG), MS(OBG), Fellowship (Gynaecological Oncology)",Consultation time:  Monday - Saturday 9:00AM - 5:00PM
Dr. Chepsy C Philip,Consultant Clinical Haematologist,"MBBS, MD, DM (Clinical Haematology)",Consultation time: Wednesday - 8.30 AM to 12 PM
G S JEEVAN,Consultant  Surgical Oncologist,"MBBS,DNB(Gen Surg(, MCh(Surgical Oncology), MRCS(UK),D.MAS,F.MAS","Consultation time: Monday , Wednesday, Friday- 4PM to 7PM"
Dr. Parvathy Rajasekharan,Consultant Clinical Oncologist,MD (Radiation Oncology),Consultation time: Monday - Saturday 10.30AM - 5:00PM
Dr. Moni A Kuriakose,Visiting Consultant,"MBCHB, FDSRCS, FFDRCS, FRCS, FRCS Ed., FRCS, MD",Consultation time:
Dr. Sandeep Kumar Behera,Consultant Surgical Oncologist,"MBBS, MS (General Surgery), MCH (Surgical Oncology)",Consultation time:
