doctor_name,speciality,professional_degree,consultation_time
Dr. R N Ramesh,,"MBBS, DMRD",Consultation time:
Dr. Biju Mohan,,MD (Radio Diagnosis),Consultation time:
Dr. Bichu Xavier,,"MBBS, DMRD, DNB",Consultation time:
Dr. Archana Jayakumar,,"MBBS, MD, DNB (Radio Diagnosis)",Consultation time:
Dr.Arya G Krishnan,Jr.Consultant Radiologist,"MD(Radiodiagnosis), DNB (Radiodiagnosis)",Consultation time:
Dr. B Muthukumarasamy,,MBChB,Consultation time:
Dr. Praveen Kesav R,Consultant Interventional Radiologis,"MBBS, MD",Consultation time:
