doctor_name,speciality,professional_degree,consultation_time
Dr. R Anandam,Chief Consultant Paediatric Neurologist,"MBBS, MD (Paed), DM (Neuro)","Consultation time: Tuesday, Thursday - 11AM to 1PM"
Dr. Madhusoodhanan M,,"MD, DM (Neuro)","Consultation time: 10.30AM to 1PM (Sunday, Wednesday  Off)"
Dr. Sinchu C Maniangatt,Consultant Neurologist,"MBBS, DNB (Med), DNB (Neuro)",Consultation time:  9AM - 2PM (Sunday Off)
Dr. Divya S,Consultant Neurologist,"MD, DM (Gen Med), DM (Neuro)",Consultation time: 9AM to 2PM (Saturday Off)
Dr. Gayathri Sreekumar,Consultant,"MD( Gen Med), DM( Neurology)",Consultation time: Monday to Saturday- 2 pm to 7 pm. Alternate Sunday duty 9 am to 2 pm. Thursday off
AHAMED SUBIR H,Consultant Neurovascular Interventionist,"MBBS, MD(Internal Medicine), DM(Neurology), DNB(Neurology), MNAMS","Consultation time: Sunday, Monday - 9am to 2pm"
