doctor_name,speciality,professional_degree,consultation_time
Dr. Balachandran H,Consultant Psychiatrist,"MBBS, DPM",Consultation time: 9AM - 1PM (Sunday Off)
Dr. Arun Mohan S,Consultant Psychiatrist,"MBBS, MD (Psychiatry)",Consultation time: Monday to Friday - 3.30PM to 7PM Sunday - 10AM to 1.30PM (Saturday - off)
Dr. Preetha P Nair,Consultant Psychologist,"M. Phil, PhD",Consultation time:  Monday to Friday - 1.30PM to 4.30PM Sunday - 10AM to 1.30PM
Advika Sivam Narayan,Clinical Psychologist,,"Consultation time: Mon - Saturday: 9.30AM to 5.30PM, Sunday Off"
