doctor_name,speciality,professional_degree,consultation_time
Dr. Manasa S,Consultant Ophthalmologist,"MBBS, MD Ophthalmology (AIIMS, New Delhi)","Consultation time:  Monday to Friday - 9AM to 1PM ,Saturday  10AM to 1PM"
Dr. Minu Sasikumar,Consultant Ophthalmologist,"MBBS, MS (Ophthalmology)",Consultation time:  Monday to Thursday - 3PM to 6PM Sunday - 10 AM to 12.30 PM
