doctor_name,speciality,professional_degree,consultation_time
Dr. Karthik Raj,Consultant Neonatologist,"MBBS, MD",Consultation time:  9AM to 1PM (Sunday Off)
DR.AFIZ ABDUL AZIZ,Associate Neonatologist,"MBBS,MD(Paediatrics),FNNF","Consultation time: Monday-Tuesday,Wednesday,Thursday,Sunday-8am to 4pm"
