doctor_name,speciality,professional_degree,consultation_time
Dr. Naveen Jasmine,HOD of Critical Care Medicine,"MBBS, MD (Anaesthesia), EDIC (UK), Fellowship in Critical Care Medicine, Fellowship in ECMO",Consultation time:
Dr. Shaigi Shamsudeen,Senior Consultant,"MBBS, DA (Anaesthesia), Fellowship in Critical Care Medicine",Consultation time:
Dr. Sudheer Jeshurun D,Consultant,"MBBS, Fellowship in Critical Care Medicine",Consultation time:
Dr. Akhilesh V U,Consultant,"MBBS, MD (Anaesthesia), DrNB (Critical Care Medicine)",Consultation time:
Dr. Swathi Krishna. R,,"MBBS, MD(Aneasthesiology), DNB(Critical Care Medicine)",Consultation time:
