doctor_name,speciality,professional_degree,consultation_time
Dr. Rakesh S,Consultant Gastroenterologist,"MBBS, MD (GM), DM (Gastro)",9AM - 3PM (Sunday Off)
PONNI KRISHNAN.G,Consultant  Gastroenterologist,"MBBS,MD(Gen Med),DM(Gastroenterology)","Monday to Friday - 10AM to 4PM ,Sunnday 9AM to 1PM  (Saturday Off)"
Dr.ANUPA ACHAMMA THOMAS,Consultant Pediatric Gastroenterologist,"MBBS,MD(Ped),Fellowship in Pediatric Gastroenterology & Hepatology)",Monday to  Saturday-9 am to 2 pm	Sunday-Off
