doctor_name,speciality,professional_degree,consultation_time
Dr. Janardhanan Potty,HOD & Chief Consultant Neurosurgeon,"MS (Gen Surg), MCh (Neurosurgery)","Consultation time: Monday, Tuesday, Thursday, Friday -9am to 1pm"
Dr. Anand Binu,Consultant Neurosurgeon,"MBBS, MS, MCh (Neurosurgery)",Consultation time: Monday to Sunday - 9am to 3pm (Friday Off)
Dr. Bagatheesh. S,Consultant Neurosurgeon,"MBBS, DNB(Neurosurgery)",Consultation time: Wednesday & Friday - 9am to 1pm
