doctor_name,speciality,professional_degree,consultation_time
Dr. Arjun S,Consultant/ HOD - Physical Medicine & Rehabilitation,MD (PMR),Consultation time:  9AM - 4PM (Monday to Friday) 9AM - 12PM (Saturday)
Dr. Vishnu R Unnithan,Consultant Orthopaedician & Arthroscopic Specialist,"MBBS, D. ORTHO, DNB (Ortho)","Consultation time: Sunday, Monday, Tuesday Wednesday, Friday, Saturday - 9AM to 1.30PM"
