doctor_name,speciality,professional_degree,consultation_time
Dr. Binu Krishnan,Consultant Pulmonologist,"MBBS, DTCD, MD (Tubercul), MD (GM) DM (Respiratory Med)",Consultation time:  to Sun - 9AM to 1PM (Thursday Off)
Dr. Vivek P,Consultant Pulmonologist,"MBBS, DTCD, DNB","Consultation time: Monday, Wednesday, Thursday, Friday - 10.30AM to 2.30PM"
Dr. Shanu S,Consultant Pulmonologist,MD (Respiratory Medicine),Consultation time: 9 AM to 4 PM. Friday off
Dr. Madhurima A S,Jr. Consultant,"MBBS, MD(Pulmonology) , DNB (Respiratory Medicine)","Consultation time:  Tuesday, Thursday, Friday, Sunday -9.30AM to 1.30 PM,4.30 PM to 7.30 PM"
