doctor_name,speciality,professional_degree,consultation_time
Dr. Rajeswari Balakrishnan,Consultant Gynecologist,"MBBS, DGO, MD (Ob & G)",Consultation time: Monday to Sunday - 4pm to 7pm (Saturday -off)
Dr. Aysha P V,Sr. Consultant Gynecologist,"MBBS, MD","Consultation time:  9AM - 1PM OT days - Tuesday, Friday (Saturday Off)"
Dr. Binitha Segin,Consultant Gynecologist,"MBBS, DNB (Obs & Gyn), MNAMS","Consultation time: Monday to Friday - 9AM to 1PM, 4PM to 7PM Saturday - 9AM to 4PM (Sunday Off)"
Dr. Sindhu M S,Consultant Gynecologist,"MBBS, DGO, DNB",Consultation time: Monday - Saturday 9AM - 2PM (Sunday Off)
Dr. Bala Sreedevi,Consultant Gynecologist,"MBBS, DGO, MD, DNB",Consultation time: Monday - Saturday 9AM - 2PM (Sunday Off)
Dr. Chitra Sureshkumar,Consultant Gynaecologist,"MBBS, DGO, DNB (CMC Vellore), MRCOG",Consultation time: Monday to Saturday 9.00 AM - 2PM (Sunday Off)
Dr. Jyothy Vijayan,Consultant Gynecologist,"MBBS, DGO, DNB","Consultation time: Monday, Wednesday, Thursday - 4PM to 8PM Tuesday, Saturday - 9AM to 1PM 4PM to 8PM Sunday - 9AM to 1PM (Friday Off)"
Dr. Ravishankar. P,Visiting Consultant - Fertility Specialist,MS (Obg),"Consultation time: Mon, Wed, Friday - 5 pm to 7pm"
