doctor_name,speciality,professional_degree,consultation_time
Dr. J Padmakumar,Senior Consultant,"MBBS, MS (Gen Surgery), MCh (Plastic Surgery)",Consultation time:  Monday to Saturday - 9AM to 1PM (Sunday Off)
Dr. Manoj G,Consultant,"MBBS, MS, DNB (Plastic Surgery)","Consultation time: 9AM to 1PM, 5PM to 6PM (Friday Off)"
LISHA N P,Consultant,"MBBS,MS,MCh(Plastic & Reconstructive Surgery), Dr.NB(Plastic & Reconstructive Surgery)","Consultation time: Tuesday,Thursday-3 PM to 6 PM Sunday - 9.30 AM to 12.30 PM"
