doctor_name,speciality,professional_degree,consultation_time
Dr. ANJANA G VARIER,Consultant Rheumatologist,"MBBS,MD(General Medicine), MRCP(UK), Post Doctoral Fellowship in dvanced Arthritis, Rheumatism & Autoimmunity, SCE Rheumatology","Tuesday ,Wednesday -9AM to 1PM,  4.30PM to 6PM.   Monday ,Thursday ,Friday Saturday -9AM to 4PM,   Sunday-Off"
Dr. Sreelakshmi Sreenath,Registrar,"MBBS, Rheumatology","Mon, Wed, Fri -10.30 to 1pm"
