doctor_name,speciality,professional_degree,consultation_time
Dr. Arun Pareeth,Consultant Urologist,"MBBS, MS (Gen Sur), MCH (Urology)",Consultation time: Monday - Saturday (10AM - 3PM)
Dr. T Saravanan,Consultant Urologist,"MS (Gen Surgery), MCH (Urology)",Consultation time: Monday - Saturday (4PM - 7PM)
Dr. Ashish S Nair,Consultant Urologist,"MBBS, MS (Gen Surgery), MCH (Genito - Urinary Surgery)",Consultation time: Tuesday & Friday  - 2PM to 4PM
G SATHISH KUMAR,Consultant Urologist,"MBBS,MS(Gen Surg),MCh(Urology)",Consultation time:
