doctor_name,speciality,professional_degree,consultation_time
Dr. (Mrs) C.P Rohini Sastha,Head Of The Department,"MBBS, DA",8 am to 4 pm Night: on call
Dr. Lisha K. M,Junior Consultant,"MBBS, MD",8 am to 4 pm Night: on call
Dr. Sonish K,Consultant,"MBBS, MD",8 am to 4 pm Night: on call
Dr. Ravikumar G,Consultant,"MBBS, MD",8 am to 4 pm Night: on call
Dr. Anjali S,Jr. Consultant Anaesthetist,MD (Anaes),8 am to 4 pm Night: on call
Dr. Archana Nair R,Consultant Anaesthetist,"MBBS, MD (Anaes), DNB (Anaes)",8 am to 4 pm Night: on call
DR.ASWIN MOHAN,Consultant,"MBBS,Diploma In Anaes, DNB(Anaes)",8 am to 4 pm Night: on call
DR.Sajin Joseph Mathew Varghese,Consultant Anesthetist,"MBBS,MD(Anaesthesiology)",
