doctor_name,speciality,professional_degree,consultation_time
Dr. Krishnan Nair C S,Senior Consultant - General Surgery,"MBBS, MS",9AM to 3PM ( Off-Tuesday)
Dr. John Sajit Edwin,Senior Consultant Surgeon,"MBBS, MS","9AM to 1PM , 4.30PM to 7PM (Sunday Off)"
Dr. Vinu Sankar V S,Consultant General Surgeon,MBBS MS(Gen Surg),9am to  5pm Off- Friday
Dr. M A Kishor,Consultant - Oral Maxillo Facial Surgery,"BDS, MDS (OMFS), PGDHM",Tuesday - 8.30AM to 11AM
Dr. Segin Chandran,Visiting Consultant,"BDS, MDS, PCAD (PG Certificate in Aesthetic Dentistry)",On Call
DR.VISHNU R KRISHNAN,CONSULTANT GENERAL SURGEON,"MBBS,MS(Gen Sur)","Tue, Wed, Thur, Fri, Sat-9am to 2pm & 5pm to 8pm, Sunday- 3pm to 6pm"
