doctor_name,speciality,professional_degree,consultation_time
Dr. Geetha M Nair,Consultant Nephrologist,"MBBS, MD, DM (Nephro)",Consultation time:  9AM to 2PM (Sunday Off)
Dr. Janak Giridhar,Consultant Nephrologist,"MD (Gen Med), DM (Nephro)","Consultation time: Monday, Tuesday, Wednesday, Friday& Sunday - 8.30AM to  4 PM  ,Thursday  8.30 AM to 2.30 PM ,(Saturday Off)"
Dr. Jacob George,Senior Consultant Nephrologist,"MBBS, MD, DM (Nephro), DNB (Nephro )","Consultation time: Monday 9AM to 2PM, Thursday - 2PM to 5PM"
