doctor_name,speciality,professional_degree,consultation_time
Dr. Kiran K S,Visiting Consultant,"BDS, MDS, Fellowship in Dental Implantology",Consultation time:
Dr. M A Kishor,Consultant - Oral Maxillo Facial Surgery,"BDS, MDS (OMFS), PGDHM",Consultation time:  Tuesday - 8.30AM to 11AM
Dr. Segin Chandran,Visiting Consultant,"BDS, MDS, PCAD (PG Certificate in Aesthetic Dentistry)",Consultation time:
Dr. Sankar Jayaram,Consultant,"BDS, MDS","Consultation time:  Wednesday, Friday - 6PM to 9PM"
