doctor_name,speciality,professional_degree,consultation_time
Dr. Azeem Fazil Mohammed,Senior Consultant,"MBBS, MS(General Surgery), FRCS MCh",Consultation time:
Dr. X Reenus Demel,Consultant Cardiothoracic Surgeon,"MBBS, MS (General Surgery), MCh (Cardiothoracic Surgery)","Consultation time: Saturday, Sunday"
