doctor_name,speciality,professional_degree,consultation_time
Dr. Jayakumar R Menon,Senior Consultant Laryngology,"MBBS, DLO, DNB (ENT)",
Dr. Manju E Issac,Consultant Laryngology,"MBBS, DLO, DNB(ENT),MNAMS,FELLOWSHIP IN LARYNGOLOGY & PHONOSURGERY","Monday,Thursday- 3pm to 5 pm , Saturday: 10 am to 1 pm"
Dr. Adersh S Pillai,Consultant ENT Specialist & Laryngologist,"MBBS,MS(Oto-Rhino-Laryngology),Fellowship in Laryngology & Phonosurgery","Mon, Wed, Thursday- 9am to 1pm, 4pm to 6pm , Friday-9 am to 4 pm ,Sunday- 9am to 1pm    Off - Tuesday, Saturday"
Dr. Sabarinath H S,Consultant Laryngology,"MBBS, MS (ENT) , Fellowship in Laryngology & Phonosurgery",Monday 10AM to 1PM
