doctor_name,speciality,professional_degree,consultation_time
Dr. Josemon Thomas,Chief  Physician,"MBBS, MD","9.30AM to 1PM (Saturday ,Sunday Off)"
Dr. D S Mohan,Senior Consultant Physician,"MBBS, MD (GM)",10.00AM to 1.30PM (Wednesday Off)
Dr. Deepu A,Consultant Physician,"MBBS, MD",9AM to 2:30PM (Sunday Off)
Dr. Sukesh R S,Consultant Physician,"MBBS, MD (General Medicine)","Monday, Tuesday, Wednesday, Thursday & Saturday - 9AM to 3PM Sunday - 9AM to 2PM (Friday Off)"
Dr. Mithun Rathen Murugan,Consultant,"MBBS, MD (General Medicine)","Tuesday,Thursday-10.30 to 1pm"
Dr. Nidin Mohan,Consultant - General Medicine,"MBBS, MD(Gen Med)","8.30am to 1pm, 4.30pm to 7.30 pm Off Day - Tuesday"
Mohith George Varampathu,Consultant Physician,"MBBS,MD(General Medicine),DNB(Gen Med)","Monday,Thursday -8.30AM to 1.30PM , 6PM - 8PM Tuesday,Wednesday, Saturday,Sunday -8.30AM to 1.30PM , 5PM - 8PM Friday(Off)"
